date,county,state,fips,cases,deaths
2020-03-13,Ada,Idaho,16001.0,1,0.0
2020-03-14,Ada,Idaho,16001.0,2,0.0
2020-03-12,Adams,Colorado,8001.0,2,0.0
2020-03-13,Adams,Colorado,8001.0,3,0.0
2020-03-14,Adams,Colorado,8001.0,6,0.0
2020-03-10,Adams,Indiana,18001.0,1,0.0
2020-03-11,Adams,Indiana,18001.0,1,0.0
2020-03-12,Adams,Indiana,18001.0,1,0.0
2020-03-13,Adams,Indiana,18001.0,1,0.0
2020-03-14,Adams,Indiana,18001.0,1,0.0
2020-03-10,Alachua,Florida,12001.0,1,0.0
2020-03-11,Alachua,Florida,12001.0,1,0.0
2020-03-12,Alachua,Florida,12001.0,2,0.0
2020-03-13,Alachua,Florida,12001.0,3,0.0
2020-03-14,Alachua,Florida,12001.0,3,0.0
2020-03-01,Alameda,California,6001.0,1,0.0
2020-03-02,Alameda,California,6001.0,1,0.0
2020-03-03,Alameda,California,6001.0,2,0.0
2020-03-04,Alameda,California,6001.0,2,0.0
2020-03-05,Alameda,California,6001.0,2,0.0
2020-03-06,Alameda,California,6001.0,3,0.0
2020-03-07,Alameda,California,6001.0,3,0.0
2020-03-08,Alameda,California,6001.0,3,0.0
2020-03-09,Alameda,California,6001.0,24,0.0
2020-03-10,Alameda,California,6001.0,25,0.0
2020-03-11,Alameda,California,6001.0,25,0.0
2020-03-12,Alameda,California,6001.0,29,0.0
2020-03-13,Alameda,California,6001.0,29,0.0
2020-03-14,Alameda,California,6001.0,29,0.0
2020-03-12,Albany,New York,36001.0,2,0.0
2020-03-13,Albany,New York,36001.0,2,0.0
2020-03-14,Albany,New York,36001.0,5,0.0
2020-03-12,Alexandria city,Virginia,51510.0,1,0.0
2020-03-13,Alexandria city,Virginia,51510.0,1,0.0
2020-03-14,Alexandria city,Virginia,51510.0,1,0.0
2020-03-14,Allegheny,Pennsylvania,42003.0,1,0.0
2020-03-12,Anchorage,Alaska,2020.0,1,0.0
2020-03-13,Anchorage,Alaska,2020.0,1,0.0
2020-03-14,Anchorage,Alaska,2020.0,1,0.0
2020-03-12,Androscoggin,Maine,23001.0,1,0.0
2020-03-13,Androscoggin,Maine,23001.0,1,0.0
2020-03-14,Androscoggin,Maine,23001.0,1,0.0
2020-03-13,Anne Arundel,Maryland,24003.0,1,0.0
2020-03-14,Anne Arundel,Maryland,24003.0,1,0.0
2020-03-10,Anoka,Minnesota,27003.0,1,0.0
2020-03-11,Anoka,Minnesota,27003.0,1,0.0
2020-03-12,Anoka,Minnesota,27003.0,1,0.0
2020-03-13,Anoka,Minnesota,27003.0,1,0.0
2020-03-14,Anoka,Minnesota,27003.0,2,0.0
2020-03-09,Arapahoe,Colorado,8005.0,1,0.0
2020-03-10,Arapahoe,Colorado,8005.0,2,0.0
2020-03-11,Arapahoe,Colorado,8005.0,3,0.0
2020-03-12,Arapahoe,Colorado,8005.0,3,0.0
2020-03-13,Arapahoe,Colorado,8005.0,7,0.0
2020-03-14,Arapahoe,Colorado,8005.0,10,0.0
2020-03-11,Arlington,Virginia,51013.0,2,0.0
2020-03-12,Arlington,Virginia,51013.0,2,0.0
2020-03-13,Arlington,Virginia,51013.0,5,0.0
2020-03-14,Arlington,Virginia,51013.0,7,0.0
2020-03-14,Baldwin,Alabama,1003.0,1,0.0
2020-03-11,Baltimore,Maryland,24005.0,1,0.0
2020-03-12,Baltimore,Maryland,24005.0,1,0.0
2020-03-13,Baltimore,Maryland,24005.0,2,0.0
2020-03-14,Baltimore,Maryland,24005.0,3,0.0
2020-03-14,Barnstable,Massachusetts,25001.0,1,0.0
2020-03-11,Bartow,Georgia,13015.0,3,0.0
2020-03-12,Bartow,Georgia,13015.0,3,0.0
2020-03-13,Bartow,Georgia,13015.0,7,0.0
2020-03-14,Bartow,Georgia,13015.0,7,0.0
2020-03-13,Bay,Michigan,26017.0,1,0.0
2020-03-14,Bay,Michigan,26017.0,1,0.0
2020-03-10,Beadle,South Dakota,46005.0,1,0.0
2020-03-11,Beadle,South Dakota,46005.0,1,0.0
2020-03-12,Beadle,South Dakota,46005.0,1,0.0
2020-03-13,Beadle,South Dakota,46005.0,1,0.0
2020-03-14,Beadle,South Dakota,46005.0,1,0.0
2020-03-14,Beaufort,South Carolina,45013.0,3,0.0
2020-03-13,Bell,Texas,48027.0,1,0.0
2020-03-14,Bell,Texas,48027.0,1,0.0
2020-03-14,Belmont,Ohio,39013.0,2,0.0
2020-03-07,Bennington,Vermont,50003.0,1,0.0
2020-03-08,Bennington,Vermont,50003.0,1,0.0
2020-03-09,Bennington,Vermont,50003.0,1,0.0
2020-03-10,Bennington,Vermont,50003.0,1,0.0
2020-03-11,Bennington,Vermont,50003.0,1,0.0
2020-03-12,Bennington,Vermont,50003.0,1,0.0
2020-03-13,Bennington,Vermont,50003.0,1,0.0
2020-03-14,Bennington,Vermont,50003.0,1,0.0
2020-03-04,Bergen,New Jersey,34003.0,1,0.0
2020-03-05,Bergen,New Jersey,34003.0,2,0.0
2020-03-06,Bergen,New Jersey,34003.0,3,0.0
2020-03-07,Bergen,New Jersey,34003.0,3,0.0
2020-03-08,Bergen,New Jersey,34003.0,4,0.0
2020-03-09,Bergen,New Jersey,34003.0,5,0.0
2020-03-10,Bergen,New Jersey,34003.0,7,1.0
2020-03-11,Bergen,New Jersey,34003.0,11,1.0
2020-03-12,Bergen,New Jersey,34003.0,13,1.0
2020-03-13,Bergen,New Jersey,34003.0,17,1.0
2020-03-14,Bergen,New Jersey,34003.0,31,1.0
2020-03-07,Berkshire,Massachusetts,25003.0,1,0.0
2020-03-08,Berkshire,Massachusetts,25003.0,1,0.0
2020-03-09,Berkshire,Massachusetts,25003.0,5,0.0
2020-03-10,Berkshire,Massachusetts,25003.0,7,0.0
2020-03-11,Berkshire,Massachusetts,25003.0,9,0.0
2020-03-12,Berkshire,Massachusetts,25003.0,9,0.0
2020-03-13,Berkshire,Massachusetts,25003.0,9,0.0
2020-03-14,Berkshire,Massachusetts,25003.0,9,0.0
2020-03-11,Bernalillo,New Mexico,35001.0,1,0.0
2020-03-12,Bernalillo,New Mexico,35001.0,2,0.0
2020-03-13,Bernalillo,New Mexico,35001.0,5,0.0
2020-03-14,Bernalillo,New Mexico,35001.0,6,0.0
2020-02-14,Bexar,Texas,48029.0,2,0.0
2020-02-15,Bexar,Texas,48029.0,2,0.0
2020-02-16,Bexar,Texas,48029.0,2,0.0
2020-02-17,Bexar,Texas,48029.0,2,0.0
2020-02-18,Bexar,Texas,48029.0,2,0.0
2020-02-19,Bexar,Texas,48029.0,2,0.0
2020-02-20,Bexar,Texas,48029.0,2,0.0
2020-02-21,Bexar,Texas,48029.0,4,0.0
2020-02-22,Bexar,Texas,48029.0,4,0.0
2020-02-23,Bexar,Texas,48029.0,4,0.0
2020-02-24,Bexar,Texas,48029.0,10,0.0
2020-02-25,Bexar,Texas,48029.0,10,0.0
2020-02-26,Bexar,Texas,48029.0,10,0.0
2020-02-27,Bexar,Texas,48029.0,10,0.0
2020-02-28,Bexar,Texas,48029.0,11,0.0
2020-02-29,Bexar,Texas,48029.0,11,0.0
2020-03-01,Bexar,Texas,48029.0,11,0.0
2020-03-02,Bexar,Texas,48029.0,11,0.0
2020-03-03,Bexar,Texas,48029.0,11,0.0
2020-03-04,Bexar,Texas,48029.0,11,0.0
2020-03-05,Bexar,Texas,48029.0,11,0.0
2020-03-06,Bexar,Texas,48029.0,11,0.0
2020-03-07,Bexar,Texas,48029.0,11,0.0
2020-03-08,Bexar,Texas,48029.0,11,0.0
2020-03-09,Bexar,Texas,48029.0,11,0.0
2020-03-10,Bexar,Texas,48029.0,11,0.0
2020-03-11,Bexar,Texas,48029.0,11,0.0
2020-03-12,Bexar,Texas,48029.0,11,0.0
2020-03-13,Bexar,Texas,48029.0,11,0.0
2020-03-14,Bexar,Texas,48029.0,12,0.0
2020-03-14,Blaine,Idaho,16013.0,2,0.0
2020-03-11,Bon Homme,South Dakota,46009.0,1,0.0
2020-03-12,Bon Homme,South Dakota,46009.0,1,0.0
2020-03-13,Bon Homme,South Dakota,46009.0,1,0.0
2020-03-14,Bon Homme,South Dakota,46009.0,1,0.0
2020-03-10,Boone,Indiana,18011.0,1,0.0
2020-03-11,Boone,Indiana,18011.0,1,0.0
2020-03-12,Boone,Indiana,18011.0,1,0.0
2020-03-13,Boone,Indiana,18011.0,1,0.0
2020-03-14,Boone,Indiana,18011.0,1,0.0
2020-03-14,Bossier,Louisiana,22015.0,1,0.0
2020-03-14,Boulder,Colorado,8013.0,1,0.0
2020-03-14,Bourbon,Kentucky,21017.0,1,0.0
2020-03-14,Brazoria,Texas,48039.0,2,0.0
2020-03-14,Bristol,Massachusetts,25005.0,1,0.0
2020-03-14,Broome,New York,36007.0,1,0.0
2020-03-06,Broward,Florida,12011.0,2,0.0
2020-03-07,Broward,Florida,12011.0,2,0.0
2020-03-08,Broward,Florida,12011.0,3,0.0
2020-03-09,Broward,Florida,12011.0,3,0.0
2020-03-10,Broward,Florida,12011.0,4,0.0
2020-03-11,Broward,Florida,12011.0,5,0.0
2020-03-12,Broward,Florida,12011.0,12,0.0
2020-03-13,Broward,Florida,12011.0,21,0.0
2020-03-14,Broward,Florida,12011.0,21,0.0
2020-03-14,Brunswick,North Carolina,37019.0,1,0.0
2020-03-11,Bucks,Pennsylvania,42017.0,2,0.0
2020-03-12,Bucks,Pennsylvania,42017.0,2,0.0
2020-03-13,Bucks,Pennsylvania,42017.0,3,0.0
2020-03-14,Bucks,Pennsylvania,42017.0,4,0.0
2020-03-10,Burlington,New Jersey,34005.0,2,0.0
2020-03-11,Burlington,New Jersey,34005.0,2,0.0
2020-03-12,Burlington,New Jersey,34005.0,2,0.0
2020-03-13,Burlington,New Jersey,34005.0,3,0.0
2020-03-14,Burlington,New Jersey,34005.0,3,0.0
2020-03-13,Butler,Kansas,20015.0,1,0.0
2020-03-14,Butler,Kansas,20015.0,1,0.0
2020-03-14,Butler,Ohio,39017.0,4,0.0
2020-03-12,Cabarrus,North Carolina,37025.0,1,0.0
2020-03-13,Cabarrus,North Carolina,37025.0,1,0.0
2020-03-14,Cabarrus,North Carolina,37025.0,1,0.0
2020-03-11,Caddo,Louisiana,22017.0,1,0.0
2020-03-12,Caddo,Louisiana,22017.0,1,0.0
2020-03-13,Caddo,Louisiana,22017.0,1,0.0
2020-03-14,Caddo,Louisiana,22017.0,2,0.0
2020-03-06,Camden,New Jersey,34007.0,1,0.0
2020-03-07,Camden,New Jersey,34007.0,1,0.0
2020-03-08,Camden,New Jersey,34007.0,1,0.0
2020-03-09,Camden,New Jersey,34007.0,1,0.0
2020-03-10,Camden,New Jersey,34007.0,1,0.0
2020-03-11,Camden,New Jersey,34007.0,1,0.0
2020-03-12,Camden,New Jersey,34007.0,1,0.0
2020-03-13,Camden,New Jersey,34007.0,2,0.0
2020-03-14,Camden,New Jersey,34007.0,2,0.0
2020-03-14,Campbell,Tennessee,47013.0,1,0.0
2020-03-12,Carroll,Iowa,19027.0,1,0.0
2020-03-13,Carroll,Iowa,19027.0,1,0.0
2020-03-14,Carroll,Iowa,19027.0,1,0.0
2020-03-14,Carroll,Maryland,24013.0,1,0.0
2020-03-12,Carson City,Nevada,32510.0,1,0.0
2020-03-13,Carson City,Nevada,32510.0,1,0.0
2020-03-14,Carson City,Nevada,32510.0,1,0.0
2020-03-08,Carver,Minnesota,27019.0,1,0.0
2020-03-09,Carver,Minnesota,27019.0,1,0.0
2020-03-10,Carver,Minnesota,27019.0,1,0.0
2020-03-11,Carver,Minnesota,27019.0,1,0.0
2020-03-12,Carver,Minnesota,27019.0,1,0.0
2020-03-13,Carver,Minnesota,27019.0,1,0.0
2020-03-14,Carver,Minnesota,27019.0,1,0.0
2020-03-12,Cass,Nebraska,31025.0,1,0.0
2020-03-13,Cass,Nebraska,31025.0,1,0.0
2020-03-14,Cass,Nebraska,31025.0,1,0.0
2020-03-13,Charles,Maryland,24017.0,1,0.0
2020-03-14,Charles,Maryland,24017.0,1,0.0
2020-03-10,Charles Mix,South Dakota,46023.0,1,0.0
2020-03-11,Charles Mix,South Dakota,46023.0,1,0.0
2020-03-12,Charles Mix,South Dakota,46023.0,1,0.0
2020-03-13,Charles Mix,South Dakota,46023.0,1,0.0
2020-03-14,Charles Mix,South Dakota,46023.0,1,0.0
2020-03-06,Charleston,South Carolina,45019.0,1,0.0
2020-03-07,Charleston,South Carolina,45019.0,1,0.0
2020-03-08,Charleston,South Carolina,45019.0,1,0.0
2020-03-09,Charleston,South Carolina,45019.0,1,0.0
2020-03-10,Charleston,South Carolina,45019.0,1,0.0
2020-03-11,Charleston,South Carolina,45019.0,1,0.0
2020-03-12,Charleston,South Carolina,45019.0,1,0.0
2020-03-13,Charleston,South Carolina,45019.0,1,0.0
2020-03-14,Charleston,South Carolina,45019.0,1,0.0
2020-03-13,Charlevoix,Michigan,26029.0,1,0.0
2020-03-14,Charlevoix,Michigan,26029.0,1,0.0
2020-03-07,Charlotte,Florida,12015.0,1,0.0
2020-03-08,Charlotte,Florida,12015.0,1,0.0
2020-03-09,Charlotte,Florida,12015.0,1,0.0
2020-03-10,Charlotte,Florida,12015.0,1,0.0
2020-03-11,Charlotte,Florida,12015.0,1,0.0
2020-03-12,Charlotte,Florida,12015.0,1,0.0
2020-03-13,Charlotte,Florida,12015.0,1,0.0
2020-03-14,Charlotte,Florida,12015.0,1,0.0
2020-03-10,Charlton,Georgia,13049.0,1,0.0
2020-03-11,Charlton,Georgia,13049.0,1,0.0
2020-03-12,Charlton,Georgia,13049.0,1,0.0
2020-03-13,Charlton,Georgia,13049.0,1,0.0
2020-03-14,Charlton,Georgia,13049.0,1,0.0
2020-03-06,Chatham,North Carolina,37037.0,1,0.0
2020-03-07,Chatham,North Carolina,37037.0,1,0.0
2020-03-08,Chatham,North Carolina,37037.0,1,0.0
2020-03-09,Chatham,North Carolina,37037.0,1,0.0
2020-03-10,Chatham,North Carolina,37037.0,1,0.0
2020-03-11,Chatham,North Carolina,37037.0,1,0.0
2020-03-12,Chatham,North Carolina,37037.0,1,0.0
2020-03-13,Chatham,North Carolina,37037.0,1,0.0
2020-03-14,Chatham,North Carolina,37037.0,1,0.0
2020-03-04,Chelan,Washington,53007.0,1,0.0
2020-03-05,Chelan,Washington,53007.0,1,0.0
2020-03-06,Chelan,Washington,53007.0,1,0.0
2020-03-07,Chelan,Washington,53007.0,1,0.0
2020-03-08,Chelan,Washington,53007.0,1,1.0
2020-03-09,Chelan,Washington,53007.0,1,1.0
2020-03-10,Chelan,Washington,53007.0,1,1.0
2020-03-11,Chelan,Washington,53007.0,1,1.0
2020-03-12,Chelan,Washington,53007.0,1,1.0
2020-03-13,Chelan,Washington,53007.0,1,1.0
2020-03-14,Chelan,Washington,53007.0,1,1.0
2020-03-08,Cherokee,Georgia,13057.0,1,0.0
2020-03-09,Cherokee,Georgia,13057.0,1,0.0
2020-03-10,Cherokee,Georgia,13057.0,1,0.0
2020-03-11,Cherokee,Georgia,13057.0,1,0.0
2020-03-12,Cherokee,Georgia,13057.0,1,0.0
2020-03-13,Cherokee,Georgia,13057.0,4,0.0
2020-03-14,Cherokee,Georgia,13057.0,4,0.0
