states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,interval_start
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,1,0.0,2020-02-14
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,2,0.0,2020-02-14
6,CA,CA,41860,San Francisco-Oakland-Hayward,2,0.0,2020-02-14
6,CA,CA,41740,San Diego-Carlsbad,1,0.0,2020-02-14
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,2,0.0,2020-02-14
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,2,0.0,2020-02-14
18,IN,IN,31500,Madison,1,0.0,2020-02-14
25,MA,MA-NH,14460,Boston-Cambridge-Newton,1,0.0,2020-02-14
48,TX,TX,41700,San Antonio-New Braunfels,2,0.0,2020-02-14
53,WA,WA,42660,Seattle-Tacoma-Bellevue,1,0.0,2020-02-14
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-15
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-15
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-15
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-15
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-15
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-15
18,IN,IN,31500,Madison,0,0.0,2020-02-15
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-15
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-15
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-15
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-16
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-16
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-16
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-16
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-16
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-16
18,IN,IN,31500,Madison,0,0.0,2020-02-16
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-16
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-16
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-16
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-17
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-17
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-17
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-17
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-17
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-17
18,IN,IN,31500,Madison,0,0.0,2020-02-17
19,IA,IA-NE,36540,Omaha-Council Bluffs,10,0.0,2020-02-17
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-17
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-17
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-17
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-18
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-18
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-18
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-18
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-18
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-18
18,IN,IN,31500,Madison,0,0.0,2020-02-18
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-18
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-18
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-18
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-18
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-19
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-19
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-19
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-19
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-19
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-19
18,IN,IN,31500,Madison,0,0.0,2020-02-19
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-19
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-19
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-19
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-19
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-20
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-20
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-20
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-20
6,CA,CA,21700,Eureka-Arcata-Fortuna,1,0.0,2020-02-20
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-20
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-20
18,IN,IN,31500,Madison,0,0.0,2020-02-20
19,IA,IA-NE,36540,Omaha-Council Bluffs,1,0.0,2020-02-20
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-20
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-20
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-20
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-21
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,1,0.0,2020-02-21
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-21
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-21
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-21
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-21
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-21
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-21
18,IN,IN,31500,Madison,0,0.0,2020-02-21
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-21
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-21
48,TX,TX,41700,San Antonio-New Braunfels,2,0.0,2020-02-21
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-21
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-22
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-22
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-22
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-22
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-22
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-22
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-22
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-22
18,IN,IN,31500,Madison,0,0.0,2020-02-22
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-22
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-22
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-22
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-22
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-23
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-23
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-23
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-23
