name_msa,geoid_msa,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11
Phoenix-Mesa-Scottsdale,38060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,3,1,0,0,3,3,4,9,16,14,3,4,6,7,7,8,8,6,7,9,10,9,7,8,6,9,23,32,24,7,2,1,15,20,10,9,16,21,9,9,20,29,56,45,9,5,13,32,41,29,30,20,5,21,39,27,11,22,16,2,1,13,19,24,29,13,4,17,33,24,15,19,11,2,14,29,29,13
San Jose-Sunnyvale-Santa Clara,41940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,4,3,1,2,2,3,3,6,7,3,3,6,5,3,5,4,6,7,4,1,0,4,7,4,3,4,4,9,7,5,9,8,4,0,10,15,11,7,4,4,2,4,6,4,5,6,3,2,3,6,4,0,7,9,2,0,3,3,2,2,1,1,0,1,3,2,0,0,0,0,1,1,1,1,0,0,3,3,0,0,0,0,0,1,5,4,0,0
San Francisco-Oakland-Hayward,41860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,6,8,7,8,5,3,9,9,5,11,10,3,6,16,13,4,9,10,6,4,2,25,30,12,7,3,4,3,14,19,10,10,6,10,15,6,11,16,7,1,4,7,10,8,4,13,17,8,1,7,7,5,7,3,1,3,11,13,9,6,3,2,7,10,4,8,9,2,5,6,2,0,0,4,5,2,16,15,1,1
San Diego-Carlsbad,41740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,2,0,2,8,7,2,2,2,1,12,17,9,8,5,1,2,8,13,10,10,8,1,1,16,24,25,16,9,9,12,17,10,12,10,10,7,0,12,23,24,16,8,5,0,10,23,19,14,12,4,7,7,0,20,20,9,13,4,0,15,22,17,15,5,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles-Long Beach-Anaheim,31080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,3,3,6,7,11,16,14,11,12,20,27,30,27,40,44,30,38,54,56,43,43,57,56,64,85,101,99,128,109,42,64,113,137,123,100,66,49,90,118,114,122,105,59,52,93,119,110,107,102,67,59,85,94,48,100,140,70,48,92,141,127,99,92,68,27,39,84,109,104,101,74,47,84,116,103,92,100,83,36,70,134,123,49
Chicago-Naperville-Elgin,16980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,3,5,7,7,11,20,26,33,33,47,73,55,69,89,67,61,108,158,164,164,162,130,127,171,179,223,195,191,158,92,197,229,229,239,193,148,103,197,255,245,265,228,165,97,203,310,294,283,242,164,111,193,336,333,262,201,125,104,197,305,269,224,190,130,80,60,206,279,220,170,125,85,160,230,211,190,142,115,73,128,167,159,91
Madison,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,5,4,2,4,2,0,1,1,0,0,1,3,3,1,1,4,3,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0
Boston-Cambridge-Newton,14460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,2,8,12,9,8,11,27,41,43,43,30,18,29,74,101,91,118,142,113,114,149,193,219,221,231,234,210,194,268,310,293,280,255,208,195,317,323,237,227,217,171,152,249,250,193,209,204,188,116,135,218,187,150,124,99,96,135,137,105,95,86,64,57,77,90,103,90,86,183,166,69,72,58,48,43,40,60,60,47,24
San Antonio-New Braunfels,41700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,5,2,0,1,5,4,0,1,2,1,1,7,7,7,8,2,3,5,9,11,5,1,2,3,1,0,1,5,4,0,0,1,1,2,5,3,0,0,0,4,6,3,3,2,0,1,1,1,2,4,3,1,1,0,1,2,3,2,4,4,0,1,3,3,2,2,2,1,3,3,0,0,0,0,2,2,2,2
Seattle-Tacoma-Bellevue,42660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,5,1,1,5,6,5,5,7,8,8,8,5,8,10,16,17,13,18,12,13,23,19,22,37,33,20,22,15,24,33,24,33,32,37,38,30,34,41,32,19,19,22,31,32,28,29,22,26,36,27,21,23,22,20,22,24,22,21,15,9,11,11,14,15,18,17,13,19,21,17,11,7,16,19,8,2,15,15,8,13,6,6,10,15,21,17,9,6,4,3,7,9,9,7,5,4,4,7,5,4,4
