geoid,name,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07
38060,Phoenix-Mesa-Scottsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,3,0,4,5,11,3,0,4,2,5,2,6,2,4,3,6,4,5,2,6,0,9,14,18,6,1,1,0,15,5,5,4,12,9,0,9,11,18,38,7,2,3,10,22,19,10,20,0,5,16,23,4,7,15,1,1,0,13,6,18,11,2,2,15,18,6,9,10,1,1,13,16,13,5,14,2,6,14,11,19,19,19,0,2,30,31,7,25,25,7,0,29,50,29,23,15,3,3,55,26,54,38,45,44,7,58,81,37,66,78,29,12,76,47,53,67,83,16,0,76,34,104,47,39,13,7,46,54,57,58,40,6,3,26,119,24,21,52,11,0,19,90,42,6,32,14,0,15,67,27,31,26,15,0,15,19,36,35,24,7,0,2,24,17,9,19,1,0,19,27,15,37,16,1,2,14,30,26,16,20,0,1,9,23,12,11,9,3,1,4,20,6,4,8,0,0,7,5,14,11,14,0,3,7,14,4,0,3,1,1,16,10,7,12,31,2,1,25,26,14,12,16,10,0,26,15,12,17,26,1,0,19,27,14,31,16,4,0,27,10,28,12,9,3,5,32,43,45,27,31,7,0,23,46,55,41,51,11,0,38,91,97,55,77,4,1,85,19,66,53,14,1,41,86,36,76,76,43,0,2,148,68,177,136,90,5,5,273,78,117,109,106,10,0,0,160,153,106,84,61,1,168,113,125,106,59,7,0,165,86,130,106,61,11
41940,San Jose-Sunnyvale-Santa Clara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,2,0,3,0,6,1,2,1,5,0,3,2,2,4,3,1,0,0,4,3,1,2,2,2,7,0,5,4,4,0,0,10,5,6,1,3,1,1,3,3,1,4,2,1,1,2,4,0,0,7,2,0,0,3,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,4,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,1,1,0,1,3,1,0,1,0,0,0,1,3,3,3,1,0,0,1,0,2,1,2,1,0,0,2,3,3,1,0,0,0,1,4,0,7,1,1,0,2,0,1,0,1,0,0,4,4,3,5,2,0,0,9,0,7,6,0,0,0,4,2,3,1,4,3,0,1,3,0,13,4,3,0,4,6,2,1,1,0,1,2,1,4,2,5,1,2,4,4,3,5,3,11,2,2,7,1,3,0,0,5,1,0,4,7,0,0,5,4,3,1,3,0,0,0,4,10,2,2,0,0,3,3,9,3,6,0,0,3,3,4,0,4,0,0,1,2,6,6,4,0,0,1,4,3,6,0,0,0,0,7,4,9,9,0,0,9,1,3,4,7,0,0,5,25,8,6,17,0,0,24,9,19,11,0,9,0,2,21,0,37,38,0,0,5,24,28,17,29,40,36,28,42,27,17,14,20,5,11,33,23,29,25,0,53,33,14,37,30,28,23,19,6,15,40,33,18,5,12
41860,San Francisco-Oakland-Hayward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,5,3,4,4,1,2,7,2,3,8,2,1,5,11,2,2,7,3,3,1,1,24,6,6,1,2,2,1,13,6,4,6,0,10,5,1,10,6,1,0,4,3,7,1,3,10,7,1,0,7,0,5,2,1,0,3,8,5,4,2,1,1,6,4,0,8,1,1,4,2,0,0,0,4,1,1,15,0,1,6,0,3,0,7,6,6,6,0,7,2,2,6,11,5,1,5,2,4,3,3,3,2,0,4,5,5,6,2,2,1,5,8,14,2,11,3,0,1,9,4,4,10,15,0,0,8,9,12,5,17,4,2,8,8,5,3,6,1,0,24,10,6,11,4,3,1,5,7,6,8,7,4,0,19,8,4,5,0,14,0,6,22,21,7,5,0,2,4,4,2,22,3,14,0,29,10,15,12,6,4,0,19,8,2,16,5,2,0,3,10,10,5,6,2,1,5,27,8,10,4,2,0,0,12,5,6,7,0,0,5,8,25,4,5,1,1,2,6,1,7,2,0,1,3,0,1,11,4,1,2,3,10,3,3,6,2,0,4,3,2,6,3,0,0,1,8,1,3,6,1,0,2,6,4,8,8,0,1,4,4,11,15,4,0,6,16,23,0,34,15,2,1,26,19,12,16,6,1,4,5,11,48,15,5,0,0,38,29,36,55,31,3,6,42,17,19,51,33,3,16,17,40,81,56,35,26,3,30,43,41,62,22,8,2,24,14,33,77,16,5
41740,San Diego-Carlsbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,6,1,1,1,1,0,12,5,4,4,1,0,2,6,7,3,7,1,0,1,15,9,16,0,9,0,12,5,5,7,3,7,0,0,12,11,13,3,5,0,0,10,13,6,8,4,0,7,0,0,20,0,9,4,0,0,15,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,3,4,4,1,6,0,0,3,6,5,6,2,1,0,4,7,5,10,0,0,0,12,7,9,5,2,0,0,14,12,17,7,6,0,0,9,18,7,12,9,0,0,14,5,6,3,4,0,0,3,10,5,3,7,1,0,8,6,7,7,4,0,0,7,5,6,8,8,0,0,5,3,5,3,3,3,0,6,7,5,1,3,3,0,2,12,4,5,4,0,0,8,6,6,3,39,0,0,5,2,6,2,0,1,0,5,2,9,2,4,5,0,3,7,6,2,4,1,0,14,4,3,0,3,3,0,4,6,3,1,1,2,0,7,4,4,3,3,0,0,10,3,0,3,1,0,30,0,0,3,3,5,0,0,7,12,7,8,6,2,0,16,4,0,8,1,0,0,22,16,5,7,8,7,0,0,41,11,23,0,25,0,32,23,22,14,27,0,3,28,39,32,0,20,0,2,31,37,62,0,58,0,6,56,37,47,33,53,33,0,41,54,53,32,28,38,0,6,65,48,79,43,31,0,46,44,69,37,32,16,0,10,54,55,39,35,9
31080,Los Angeles-Long Beach-Anaheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,4,3,8,8,6,5,7,13,14,16,11,29,15,15,23,31,25,18,25,32,24,40,45,56,43,85,24,18,46,67,70,53,47,19,30,60,58,56,66,39,20,32,61,58,52,55,47,20,39,46,48,0,100,40,30,18,74,67,60,39,53,15,12,27,57,52,52,49,25,22,62,54,49,43,57,26,10,60,74,49,27,65,21,19,45,42,43,43,57,12,17,40,58,48,38,18,23,25,53,38,61,6,0,36,50,45,66,54,75,65,25,15,82,64,63,62,62,11,9,70,67,71,51,57,11,17,66,96,53,83,79,25,9,59,79,76,56,65,16,19,69,63,86,63,51,10,19,67,75,54,94,60,9,13,62,64,67,40,46,14,16,53,68,65,69,32,7,25,9,63,42,55,38,11,23,54,36,25,14,4,24,13,57,48,38,55,26,12,1,69,44,41,22,21,5,8,29,31,31,25,51,4,2,17,41,53,31,16,13,2,37,43,23,24,19,7,7,34,26,5,19,23,4,2,21,27,26,26,16,5,5,26,18,11,27,22,5,6,24,38,37,36,44,12,8,53,49,37,42,19,16,16,45,41,50,77,59,38,27,64,75,81,72,88,43,47,87,160,109,96,86,73,58,87,139,147,0,202,45,73,228,301,290,207,156,91,102,221,274,246,344,264,216,166,315,312,295,337,295,154,88,296,293,295,254,346,111,109,353,376,239,332,358,167,131,256,288,281,255,224,135
16980,Chicago-Naperville-Elgin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,3,4,3,8,12,14,19,14,33,40,15,54,35,32,29,79,79,85,79,83,47,80,91,88,135,60,131,27,65,132,97,132,107,86,62,41,156,99,146,119,109,56,41,162,148,146,137,105,59,52,141,195,138,124,77,48,56,141,164,105,119,71,59,21,39,167,112,108,62,63,22,138,92,119,71,71,44,29,99,68,91,74,28,23,23,73,77,54,43,48,21,25,41,60,36,37,25,13,13,18,28,41,15,11,5,6,34,32,18,24,21,18,5,31,10,17,18,20,4,7,22,23,24,18,21,1,19,18,11,14,22,7,7,10,17,20,16,11,12,4,0,17,15,17,12,3,12,5,22,13,12,16,18,9,3,20,20,15,14,8,13,8,19,13,14,13,13,2,4,4,14,15,26,23,14,2,12,23,6,16,13,9,8,11,12,18,19,12,8,7,14,14,15,18,12,16,13,20,18,19,13,28,6,5,17,22,27,22,23,16,15,20,26,20,7,32,15,15,18,35,50,17,13,57,23,28,44,56,282,51,39,17,50,93,27,30,137,37,29,71,128,94,104,106,79,50,109,86,89,60,124,38,89,88,171,115,97,133,59,80,84,144,146,145,88,65,117,71,104,113,150,78,79,99,101,99,94,137,48,84,64,115,151,94,10,144,90,70,117,101,118,104,68,73,59,81,80,46,87,85,30,60,31,97,89,74,87,28,51,65,55,91,48,3,0,89,55,60,322,76,48,29
31500,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,4,0,2,2,0,0,1,0,0,0,1,2,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,2,0,1,2,0,1,0,0,0,2,2,0,2,1,0,2,2,0,3,4,0,0,3,2,1,5,3,0,1,4,6,1,3,4,0,0,4,2,3,0,2,0,0,1,23,1,0,4,0,1,3,2,5,10,0,1,1,5,25,1,2,4,2,0,30,11,6,3,0,3,1,17,4,4,4,0,2,1,11,1,14,1,8,0,0,3,0,6,1,1,0,2,0,12,1,0,3,2,0,11,0,5,8,6,1,0,0,2,28,0,0,0
14460,Boston-Cambridge-Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,7,5,4,4,7,20,21,22,21,9,9,20,54,47,44,74,68,45,69,80,113,106,115,116,118,92,102,166,144,149,131,124,84,111,206,117,120,107,110,61,91,158,92,101,108,96,92,24,111,107,80,70,54,45,51,84,53,52,43,43,21,36,41,49,54,36,50,133,33,36,36,22,26,17,23,37,23,24,31,14,26,20,10,42,24,21,20,22,9,13,28,20,35,24,12,23,0,16,23,12,16,7,8,12,24,17,20,9,8,5,6,16,11,16,16,8,3,12,15,11,9,8,12,5,8,20,11,8,15,7,7,9,1,23,10,9,4,4,4,0,0,0,0,0,0,1,69,6,7,15,0,19,6,15,15,8,8,8,9,3,2,9,14,13,3,4,7,4,12,4,11,11,7,6,14,7,5,17,8,4,7,12,9,7,15,7,6,3,19,15,6,13,2,12,1,11,6,8,8,10,8,9,13,19,21,13,11,13,3,13,21,16,5,17,11,5,17,21,17,7,14,5,7,18,12,12,14,16,9,12,29,13,13,18,15,3,14,25,12,22,12,17,14,10,26,0,19,21,24,17,18,28,31,25,17,30,13,14,46,19,25,29,25,20,30,36,26,23,31,35,24,27,52,43,0,37,58,29,46,71,44,0,41,53,38,38,61,33,50,46,51,34,47,52,40,40,50,29,28,25,50,56,45,45,37,26,26,46,35,57,53,31,19,25,40,51,50,35,51
41700,San Antonio-New Braunfels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,4,0,0,1,1,0,1,6,1,6,2,0,3,2,7,4,1,0,2,1,0,0,1,4,0,0,0,1,0,2,3,0,0,0,0,4,2,1,2,0,0,1,0,1,1,3,0,1,0,0,1,1,2,0,4,0,0,1,2,1,1,1,1,0,3,0,0,0,0,0,2,0,2,2,4,0,1,0,1,2,5,0,1,0,3,4,0,1,2,2,0,1,3,4,3,6,8,2,6,15,22,4,10,9,11,13,8,22,16,14,6,5,12,22,15,17,10,1,219,19,33,29,44,40,0,14,29,34,37,39,38,10,3,24,25,29,23,23,6,0,23,33,30,28,16,6,0,11,23,23,19,18,9,2,17,18,36,11,16,6,1,1,8,1,21,11,5,1,12,14,6,11,3,3,2,7,11,7,0,26,0,0,8,12,5,7,9,3,0,5,6,9,13,5,0,0,1,5,4,6,4,2,0,2,2,0,1,6,2,0,9,6,2,1,5,2,0,2,11,2,3,2,2,0,5,6,6,3,3,2,0,2,6,9,3,5,4,0,8,10,5,3,3,2,2,7,12,6,13,12,1,2,8,11,19,13,8,3,0,11,15,15,10,24,4,2,16,16,19,21,1,4,0,27,13,20,25,4,3,2,22,32,26,40,20,20,6,28,41,42,39,59,18,2,28,38,29,41,40,14,8,28,45,55,46,44,20,1,39,49,32,42,50,19
42660,Seattle-Tacoma-Bellevue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,0,1,4,2,3,2,5,3,5,3,2,6,4,12,5,8,10,2,11,12,7,15,22,11,9,13,2,22,11,13,20,12,25,13,17,17,24,8,11,8,14,17,15,13,16,6,20,16,11,10,13,9,11,11,13,9,12,3,6,5,6,8,7,11,6,7,12,9,8,3,4,12,7,1,1,14,1,7,6,0,6,4,11,10,7,2,4,0,3,4,5,4,3,2,2,2,5,0,4,4,5,1,1,5,1,7,6,4,1,3,3,4,3,3,4,0,3,4,5,3,6,1,5,4,6,5,4,3,0,5,0,9,8,1,4,7,3,3,3,0,3,20,2,1,1,4,5,2,0,10,2,4,3,0,11,8,8,2,3,5,3,13,2,6,7,1,8,9,11,4,4,2,5,3,5,4,4,0,0,2,11,6,2,5,0,1,0,2,8,3,3,0,0,10,4,2,3,3,0,0,3,8,9,0,10,3,0,0,7,2,0,8,0,0,6,4,6,5,5,1,0,1,5,4,6,2,1,0,5,8,3,1,2,0,0,16,1,10,4,4,0,0,6,6,6,8,0,0,0,13,9,1,11,3,4,0,10,10,8,3,4,0,0,20,20,8,0,0,0,0,39,13,22,12,10,3,0,22,14,24,0,20,0,0,12,26,5,29,0,0,0,11,18,14,15,0,0,0,8,70,29,21,0,0,0,23,26,39,13,22,0,0,6,37,24,17,14,0,0,0,33,0,49,21,0,0,21,7,22,11,22,0,0,13,0,26,9,12,0,0
