states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,group
1,AL,AL,46220,Tuscaloosa,95,2,2020-05-02
1,AL,AL,13820,Birmingham-Hoover,260,18,2020-05-02
1,AL,AL,18980,Cullman,6,0,2020-05-02
1,AL,AL,10700,Albertville,215,1,2020-05-02
1,AL,AL,33860,Montgomery,323,16,2020-05-02
1,AL,AL,45180,Talladega-Sylacauga,15,0,2020-05-02
1,AL,AL,20020,Dothan,22,0,2020-05-02
1,AL,AL,19300,Daphne-Fairhope-Foley,41,1,2020-05-02
1,AL,AL,33660,Mobile,353,22,2020-05-02
1,AL,AL-GA,17980,Columbus,1873,61,2020-05-02
1,AL,AL,45980,Troy,20,0,2020-05-02
1,AL,AL,22520,Florence-Muscle Shoals,69,0,2020-05-02
1,AL,AL,26620,Huntsville,111,0,2020-05-02
1,AL,AL,11500,Anniston-Oxford-Jacksonville,31,0,2020-05-02
1,AL,AL,23460,Gadsden,31,0,2020-05-02
1,AL,AL,37120,Ozark,16,0,2020-05-02
1,AL,AL,19460,Decatur,63,3,2020-05-02
1,AL,AL,21460,Enterprise,29,0,2020-05-02
1,AL,AL,12220,Auburn-Opelika,31,2,2020-05-02
1,AL,AL,46740,Valley,24,1,2020-05-02
1,AL,AL,42820,Selma,60,0,2020-05-02
1,AL,AL,42460,Scottsboro,10,0,2020-05-02
2,AK,AK,11260,Anchorage,9,0,2020-05-02
4,AZ,AZ,43320,Show Low,240,15,2020-05-02
4,AZ,AZ,22380,Flagstaff,181,11,2020-05-02
4,AZ,AZ,37740,Payson,6,1,2020-05-02
4,AZ,AZ,43420,Sierra Vista-Douglas,2,1,2020-05-02
4,AZ,AZ,39140,Prescott,93,2,2020-05-02
4,AZ,AZ,49740,Yuma,94,2,2020-05-02
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,1791,104,2020-05-02
4,AZ,AZ,29420,Lake Havasu City-Kingman,56,10,2020-05-02
4,AZ,AZ,35700,Nogales,7,0,2020-05-02
4,AZ,AZ,40940,Safford,3,0,2020-05-02
4,AZ,AZ,46060,Tucson,287,52,2020-05-02
5,AR,AR-MS-TN,32820,Memphis,711,21,2020-05-02
5,AR,AR,25460,Harrison,0,0,2020-05-02
5,AR,AR-MO,22220,Fayetteville-Springdale-Rogers,42,0,2020-05-02
5,AR,AR,25760,Helena-West Helena,1,0,2020-05-02
5,AR,AR,12900,Batesville,2,0,2020-05-02
5,AR,AR,14180,Blytheville,27,0,2020-05-02
5,AR,AR-TX,45500,Texarkana,6,1,2020-05-02
5,AR,AR,42620,Searcy,1,0,2020-05-02
5,AR,AR,26300,Hot Springs,2,1,2020-05-02
5,AR,AR,11660,Arkadelphia,2,0,2020-05-02
5,AR,AR,20980,El Dorado,19,1,2020-05-02
5,AR,AR,34260,Mountain Home,1,0,2020-05-02
5,AR,AR,40780,Russellville,8,1,2020-05-02
5,AR,AR,38220,Pine Bluff,144,10,2020-05-02
5,AR,AR-OK,22900,Fort Smith,6,1,2020-05-02
5,AR,AR,30780,Little Rock-North Little Rock-Conway,91,4,2020-05-02
5,AR,AR,31620,Magnolia,2,2,2020-05-02
5,AR,AR,27860,Jonesboro,14,0,2020-05-02
5,AR,AR,37500,Paragould,6,0,2020-05-02
5,AR,AR,31680,Malvern,3,0,2020-05-02
5,AR,AR,15780,Camden,1,0,2020-05-02
5,AR,AR,22620,Forrest City,24,0,2020-05-02
6,CA,CA,46700,Vallejo-Fairfield,85,2,2020-05-02
6,CA,CA,17020,Chico,3,0,2020-05-02
6,CA,CA,21700,Eureka-Arcata-Fortuna,3,0,2020-05-02
6,CA,CA,41500,Salinas,43,1,2020-05-02
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,7786,364,2020-05-02
6,CA,CA,17340,Clearlake,1,0,2020-05-02
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,102,12,2020-05-02
6,CA,CA,12540,Bakersfield,297,8,2020-05-02
6,CA,CA,41740,San Diego-Carlsbad,1065,51,2020-05-02
6,CA,CA,46380,Ukiah,28,0,2020-05-02
6,CA,CA,41860,San Francisco-Oakland-Hayward,1129,29,2020-05-02
6,CA,CA,32900,Merced,29,0,2020-05-02
6,CA,CA,46020,Truckee-Grass Valley,0,0,2020-05-02
6,CA,CA,33700,Modesto,108,6,2020-05-02
6,CA,CA,42220,Santa Rosa,61,1,2020-05-02
6,CA,CA,42200,Santa Maria-Santa Barbara,744,3,2020-05-02
6,CA,CA,42100,Santa Cruz-Watsonville,9,0,2020-05-02
6,CA,CA,44700,Stockton-Lodi,48,3,2020-05-02
6,CA,CA,20940,El Centro,154,3,2020-05-02
6,CA,CA,31460,Madera,21,0,2020-05-02
6,CA,CA,43760,Sonora,0,0,2020-05-02
6,CA,CA,42020,San Luis Obispo-Paso Robles-Arroyo Grande,26,0,2020-05-02
6,CA,CA,34900,Napa,10,0,2020-05-02
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,132,17,2020-05-02
6,CA,CA,18860,Crescent City,0,0,2020-05-02
6,CA,CA,47300,Visalia-Porterville,399,6,2020-05-02
6,CA,CA,25260,Hanford-Corcoran,152,0,2020-05-02
6,CA,CA,39780,Red Bluff,0,0,2020-05-02
6,CA,CA,49700,Yuba City,3,0,2020-05-02
6,CA,CA,40140,Riverside-San Bernardino-Ontario,1702,77,2020-05-02
6,CA,CA,39820,Redding,0,0,2020-05-02
6,CA,CA,37100,Oxnard-Thousand Oaks-Ventura,119,1,2020-05-02
6,CA,CA,23420,Fresno,270,1,2020-05-02
8,CO,CO,14720,Breckenridge,32,0,2020-05-02
8,CO,CO,17820,Colorado Springs,147,8,2020-05-02
8,CO,CO,20420,Durango,2,1,2020-05-02
8,CO,CO,24060,Glenwood Springs,15,0,2020-05-02
8,CO,CO,39380,Pueblo,31,2,2020-05-02
8,CO,CO,24300,Grand Junction,5,0,2020-05-02
8,CO,CO,33940,Montrose,24,0,2020-05-02
8,CO,CO,18780,Craig,0,0,2020-05-02
